"total_count","id","memb_id","device_desc","fullname","get_time","meter","start_date","end_date","create_dttm"
9484,188704,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-02 00:06:00",1064.5,"2025-03-01 23:49:00","2025-03-02 00:06:00","2025-03-02 00:14:00"
9484,188703,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-01 21:53:00",959.4,"2025-03-01 21:38:00","2025-03-01 21:53:00","2025-03-01 22:04:13"
9484,188702,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-01 21:02:00",729.8,"2025-03-01 20:52:00","2025-03-01 21:02:00","2025-03-01 21:17:48"
9484,188701,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-01 20:15:00",1134.9,"2025-03-01 19:58:00","2025-03-01 20:15:00","2025-03-01 20:31:17"
9484,188700,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-01 04:38:00",998.5,"2025-03-01 04:21:00","2025-03-01 04:38:00","2025-03-01 04:46:05"
9484,188699,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-01 00:06:00",792.5,"2025-02-28 23:50:00","2025-03-01 00:06:00","2025-03-01 00:16:18"
9484,188698,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-28 16:46:00",1448.6,"2025-02-28 16:21:00","2025-02-28 16:46:00","2025-03-01 00:16:18"
9484,188697,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-28 04:50:00",704.5,"2025-02-28 04:39:00","2025-02-28 04:50:00","2025-03-01 00:16:18"
9484,188596,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-24 19:19:00",473.0,"2025-02-24 19:09:00","2025-02-24 19:19:00","2025-02-24 22:23:34"
9484,188581,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-23 23:03:00",915.0,"2025-02-23 22:46:00","2025-02-23 23:03:00","2025-02-24 06:59:52"
9484,188580,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-23 19:05:00",834.6,"2025-02-23 18:53:00","2025-02-23 19:05:00","2025-02-24 06:59:52"
9484,188579,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-23 17:20:00",772.4,"2025-02-23 17:08:00","2025-02-23 17:20:00","2025-02-24 06:59:52"
9484,188578,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-23 15:21:00",917.7,"2025-02-23 15:02:00","2025-02-23 15:21:00","2025-02-24 06:59:52"
9484,188557,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-22 04:10:00",1613.9,"2025-02-22 03:46:00","2025-02-22 04:10:00","2025-02-22 04:25:01"
9484,188555,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-21 16:24:00",1077.3,"2025-02-21 16:10:00","2025-02-21 16:24:00","2025-02-21 16:38:49"
9484,188341,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-20 16:39:00",1051.0,"2025-02-20 16:25:00","2025-02-20 16:39:00","2025-02-20 16:46:18"
9484,188340,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-20 06:01:00",819.0,"2025-02-20 05:47:00","2025-02-20 06:01:00","2025-02-20 06:12:39"
9484,158960,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-19 16:39:00",1159.8,"2025-02-19 16:18:00","2025-02-19 16:39:00","2025-02-19 16:52:50"
